Player_ID,Player_Name,Age,Position,Total_Distance_3_Matches_KM,Top_Speed_KMH,Average_Sleep_Hours,HRV_Score,Matches_Played_Consecutive,Training_Intensity_RPE,Previous_Injuries_Count,Injury_Risk
1,Player_1,23,Forward,43.467982549446575,34.57116004178515,6.176920182827989,30.0,14,4,3,1
2,Player_2,31,Forward,40.12733441998816,31.368302153477035,7.678645575733539,97.0,13,10,1,1
3,Player_3,27,Defender,41.264504932664984,29.728420060223335,9.269297861645217,52.0,10,8,1,0
4,Player_4,24,Goalkeeper,33.763632515499886,32.057273251216095,9.732825942970987,51.0,2,7,3,0
5,Player_5,23,Forward,40.647205660670366,34.000332015075095,7.501673296846298,91.0,7,5,1,0
6,Player_6,35,Goalkeeper,27.587597728698807,25.06217315325303,4.255545723821879,30.0,14,7,1,1
7,Player_7,27,Defender,29.96196905273036,35.91196709916336,9.815415983602653,88.0,12,7,2,0
8,Player_8,27,Goalkeeper,27.922825345463608,27.01183149562119,8.235172365377537,97.0,4,10,2,0
9,Player_9,20,Midfielder,31.684683386198138,30.17273884225974,6.015781891321913,48.0,4,2,0,0
10,Player_10,24,Goalkeeper,27.13949040596591,34.592327083271535,4.88294620578234,59.0,10,7,0,1
11,Player_11,19,Defender,44.04028605636117,27.475444389486192,,30.0,9,3,1,1
12,Player_12,18,Defender,27.821115700141704,30.244747462904215,5.006466436837616,77.0,2,8,2,0
13,Player_13,28,Defender,22.451113452773495,26.458403981992973,4.273435129682921,48.0,1,8,0,0
14,Player_14,22,Goalkeeper,33.170429151260336,29.34583957927012,9.412925131917468,81.0,7,9,0,0
15,Player_15,18,MF,21.427476961129408,26.948490002723027,7.244609396964018,51.0,12,4,2,1
16,Player_16,17,Forward,22.763579157714513,28.999905236482725,8.199756476283024,79.0,8,10,0,0
17,Player_17,28,Midfielder,25.484734729906158,29.108106384719942,8.968651055609845,95.0,3,3,3,0
18,Player_18,28,Goalkeeper,31.60875624705354,35.92487868558166,8.749246037999201,,2,9,3,0
19,Player_19,33,Goalkeeper,30.831273307725695,35.94294332234149,9.295633742373049,93.0,4,9,2,0
20,Player_20,26,Forward,39.99229655006978,26.262649065266736,9.80352773514971,50.0,2,2,2,0
21,Player_21,32,Goalkeeper,38.48686634710283,32.985656572611816,6.634423688451637,48.0,12,6,0,1
22,Player_22,31,Defender,30.657957349767532,25.569200276360114,9.702012800010344,66.0,2,3,1,0
23,Player_23,31,Defender,28.342605189390746,25.332112168709074,8.339739690056899,92.0,5,5,4,0
24,Player_24,35,Defender,27.911719601537463,26.158672836694606,4.424009141848471,58.0,10,2,3,1
25,Player_25,28,Defender,39.34987718235023,35.62034222708728,8.090698727274074,89.0,5,4,3,0
26,Player_26,19,Defender,21.301810155531744,35.34949902684167,8.120299957629092,63.0,8,3,2,0
27,Player_27,21,Goalkeeper,20.320541237765145,27.133206023087485,9.435163382755164,30.0,9,2,1,1
28,Player_28,35,Forward,39.8886097981662,26.778395691090825,6.237592794820552,77.0,2,6,2,0
29,Player_29,23,Forward,31.928659399726232,27.645885951675417,7.509469001630907,50.0,1,3,0,0
30,Player_30,25,Defender,23.272028463839398,30.671016934826564,4.073125306070455,63.0,3,4,1,0
31,Player_31,23,Goalkeeper,25.889148364862532,31.266750952389508,5.992451453088016,,6,6,0,0
32,Player_32,34,Midfielder,43.31259882743456,27.43752773483392,4.373462356952686,65.0,14,5,3,1
