User_ID,Age,Gender,Influencer_Type,Follower_Count,Content_Format,Product_Category,Product_Price_THB,Aesthetic_Score,Social_Proof_Comments,Discount_Code_Available,Time_Spent_Watching_Seconds,Purchase_Intent
1,21,Female,Mega,7026227,Live Stream,Home,928.0,3.0,3542.0,Yes,160,1
2,18,Male,Mega,798118,TikTok/Reels,Tech,3157.0,1.0,430.0,Yes,71,0
3,27,Female,Micro,5540086,Static Post,Tech,948.0,6.0,3730.0,Yes,101,0
4,25,Male,Macro,8283577,Static Post,Tech,2879.0,6.0,996.0,No,132,0
5,22,Female,Mega,7634829,TikTok/Reels,Home,1252.0,3.0,1091.0,No,133,0
6,27,Male,Macro,3692689,Carousel,Health,3928.0,3.0,1100.0,No,156,0
7,19,Male,Micro,9034652,Carousel,Home,2781.0,7.0,101.0,Yes,90,1
8,21,Male,Mega,7976961,Live Stream,Beauty,3178.0,1.0,2699.0,Yes,28,0
9,24,Male,Celebrity,5201444,Live Stream,Health,501.0,5.0,892.0,Yes,106,0
10,17,Male,Macro,4660710,Live Stream,Beauty,3074.0,3.0,2260.0,Yes,101,0
11,21,Male,Mega,4935210,TikTok/Reels,Beauty,1701.0,5.0,1788.0,Yes,176,1
12,25,Female,Micro,4704157,TikTok/Reels,Home,4821.0,4.0,2180.0,No,61,0
13,25,Male,Micro,423994,Carousel,Tech,1079.0,,3096.0,Yes,37,1
14,22,Female,Macro,3511251,Live Stream,Health,2393.0,9.0,4567.0,Yes,119,1
15,19,Non-binary,Micro,8140115,Carousel,Fashion,2483.0,2.0,3684.0,Yes,175,1
16,18,Female,Mega,4876630,TikTok/Reels,Tech,3451.0,10.0,1780.0,Yes,62,0
17,22,Female,Micro,9185315,Static Post,Fashion,4227.0,8.0,3614.0,Yes,171,1
18,22,Male,Macro,5289486,Carousel,Home,897.0,2.0,4013.0,Yes,8,0
19,17,Male,Micro,2658,TikTok/Reels,Health,2694.0,4.0,1279.0,Yes,159,1
20,20,Female,Celebrity,2323723,Live Stream,Home,1465.0,9.0,4008.0,Yes,51,1
21,19,Male,Micro,9845648,Static Post,Fashion,3037.0,4.0,3286.0,Y,117,1
22,16,Male,Micro,7490305,Static Post,Beauty,1361.0,7.0,2681.0,No,176,0
23,22,Male,Micro,7062964,Static Post,Home,2875.0,5.0,4517.0,Yes,169,1
24,26,Female,Mega,1851007,Live Stream,Health,3347.0,2.0,2628.0,Yes,129,0
25,20,Male,Micro,5495655,Static Post,Home,402.0,8.0,538.0,Yes,6,0
26,16,Male,Micro,8658128,TikTok/Reels,Tech,1792.0,10.0,1780.0,No,71,1
27,26,Male,Micro,9752001,Carousel,Home,2415.0,10.0,3526.0,No,173,1
28,19,Male,Mega,2605878,Static Post,Fashion,4594.0,2.0,2348.0,Yes,33,0
29,15,Male,Micro,7170157,Static Post,Home,1020.0,3.0,,No,80,0
30,26,Female,Micro,8074386,TikTok/Reels,Health,519.0,10.0,3091.0,No,116,0
31,24,Female,Micro,2720771,Live Stream,Home,2277.0,,3562.0,No,78,1
32,20,Female,Macro,5967800,Static Post,Home,3908.0,5.0,4901.0,Yes,75,1
33,27,Female,Mega,9598815,TikTok/Reels,Health,1265.0,10.0,2304.0,No,169,1
34,26,Female,Macro,5908287,TikTok/Reels,Home,4772.0,3.0,2500.0,No,58,0
35,23,Male,Celebrity,5447075,Live Stream,Health,638.0,2.0,2485.0,No,12,0
36,15,Female,Celebrity,5720267,Live Stream,Fashion,3598.0,6.0,2445.0,No,169,0
37,25,Non-binary,Micro,9942500,Carousel,Health,1559.0,10.0,648.0,No,105,0
38,25,Female,Mega,1708806,Static Post,Fashion,4786.0,1.0,2269.0,No,176,0
39,24,Male,Mega,2415625,Carousel,Fashion,4838.0,8.0,3815.0,Yes,131,0
40,26,Male,Mega,3811305,TikTok/Reels,Health,426.0,5.0,,Y,119,0
41,26,Female,Macro,5227857,Static Post,Home,2958.0,5.0,,No,121,1
42,17,Female,Macro,5589162,TikTok/Reels,Tech,2192.0,2.0,4871.0,Yes,50,0
43,26,Male,Macro,3852910,TikTok/Reels,Health,2230.0,7.0,1302.0,Yes,39,1
44,21,Female,Mega,7269498,TikTok/Reels,Home,2940.0,5.0,2632.0,Yes,17,1
45,18,Non-binary,Micro,3572033,Live Stream,Fashion,,8.0,2532.0,Yes,121,1
46,23,Male,Micro,162101,Live Stream,Beauty,4831.0,5.0,1268.0,No,89,0
47,17,Non-binary,Micro,2701463,Static Post,Tech,4007.0,9.0,1773.0,Yes,120,1
48,19,Female,Micro,839394,TikTok/Reels,Home,332.0,,3089.0,No,79,1
